PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
0,1,SC Ganguly,08/07/1972,Left-hand bat,Right-arm medium,India
1,2,BB McCullum,27/09/1981,Right-hand bat,Right-arm medium,New Zealand
2,3,RT Ponting,19/12/1974,Right-hand bat,Right-arm medium,Australia
3,4,DJ Hussey,15/07/1977,Right-hand bat,Right-arm offbreak,Australia
4,5,Mohammad Hafeez,17/10/1980,Right-hand bat,Right-arm offbreak,Pakistan
5,6,R Dravid,11/01/1973,Right-hand bat,Right-arm offbreak,India
6,7,W Jaffer,16/02/1978,Right-hand bat,Right-arm offbreak,India
7,8,V Kohli,05/11/1988,Right-hand bat,Right-arm medium,India
8,9,JH Kallis,16/10/1975,Right-hand bat,Right-arm fast-medium,South Africa
9,10,CL White,18/08/1983,Right-hand bat,Legbreak googly,Australia
10,11,MV Boucher,03/12/1976,Right-hand bat,Right-arm medium,South Africa
11,12,B Akhil,07/10/1977,Right-hand bat,Right-arm medium-fast,India
12,13,AA Noffke,30/04/1977,Right-hand bat,Right-arm fast-medium,Australia
13,14,P Kumar,02/10/1986,Right-hand bat,Right-arm medium,India
14,15,Z Khan,07/10/1978,Right-hand bat,Left-arm fast-medium,India
15,16,SB Joshi,06/06/1970,Left-hand bat,Slow left-arm orthodox,India
16,17,PA Patel,09/03/1985,Left-hand bat,N/A,India
17,18,ML Hayden,29/10/1971,Left-hand bat,Right-arm medium,Australia
18,19,MEK Hussey,27/05/1975,Left-hand bat,Right-arm medium,Australia
19,20,MS Dhoni,07/07/1981,Right-hand bat,Right-arm medium,India
20,21,SK Raina,27/11/1986,Left-hand bat,Right-arm offbreak,India
21,22,JDP Oram,28/07/1978,Left-hand bat,Right-arm fast-medium,New Zealand
22,23,S Badrinath,30/08/1980,Right-hand bat,Right-arm offbreak,India
23,24,K Goel,24/12/1986,Left-hand bat,Right-arm offbreak,India
24,25,JR Hopes,24/10/1978,Right-hand bat,Right-arm medium,Australia
25,26,KC Sangakkara,27/10/1977,Left-hand bat,Right-arm offbreak,Sri Lanka
26,27,Yuvraj Singh,12/12/1981,Left-hand bat,Slow left-arm orthodox,India
27,28,SM Katich,21/08/1975,Left-hand bat,Slow left-arm chinaman,Australia
28,29,IK Pathan,27/10/1984,Left-hand bat,Left-arm medium-fast,India
29,30,T Kohli,17/12/1988,Right-hand bat,Right-arm medium,India
30,31,YK Pathan,17/11/1982,Right-hand bat,Right-arm offbreak,India
31,32,SR Watson,17/06/1981,Right-hand bat,Right-arm fast-medium,Australia
32,33,M Kaif,01/12/1980,Right-hand bat,Right-arm offbreak,India
33,34,DS Lehmann,05/02/1970,Left-hand bat,Slow left-arm orthodox,Australia
34,35,RA Jadeja,06/12/1988,Left-hand bat,Slow left-arm orthodox,India
35,36,M Rawat,25/10/1985,Right-hand bat,N/A,India
36,37,D Salunkhe,12/11/1982,Right-hand bat,Legbreak,India
37,38,SK Warne,13/09/1969,Right-hand bat,Legbreak googly,Australia
38,39,SK Trivedi,04/09/1982,Right-hand bat,Right-arm medium,India
39,40,G Gambhir,14/10/1981,Left-hand bat,Legbreak,India
40,41,V Sehwag,20/10/1978,Right-hand bat,Right-arm offbreak,India
41,42,S Dhawan,05/12/1985,Left-hand bat,Right-arm offbreak,India
42,43,L Ronchi,23/04/1981,Right-hand bat,N/A,Australia
43,44,ST Jayasuriya,30/06/1969,Left-hand bat,Slow left-arm orthodox,Sri Lanka
44,45,DJ Thornely,01/10/1978,Right-hand bat,Right-arm medium,Australia
45,46,RV Uthappa,11/11/1985,Right-hand bat,Right-arm medium,India
46,47,PR Shah,03/11/1987,Right-hand bat,N/A,India
47,48,AM Nayar,08/10/1983,Left-hand bat,Right-arm medium,India
48,49,SM Pollock,16/07/1973,Right-hand bat,Right-arm fast-medium,South Africa
49,50,Harbhajan Singh,03/07/1980,Right-hand bat,Right-arm offbreak,India
50,51,S Chanderpaul,16/08/1974,Left-hand bat,Legbreak,West Indies
51,52,LRPL Taylor,08/03/1984,Right-hand bat,Right-arm offbreak,New Zealand
52,53,AC Gilchrist,14/11/1971,Left-hand bat,Right-arm offbreak,Australia
53,54,Y Venugopal Rao,26/02/1982,Right-hand bat,Right-arm offbreak,India
54,55,VVS Laxman,01/11/1974,Right-hand bat,Right-arm offbreak,India
55,56,A Symonds,09/06/1975,Right-hand bat,Right-arm offbreak,Australia
56,57,RG Sharma,30/04/1987,Right-hand bat,Right-arm offbreak,India
57,58,SB Styris,10/07/1975,Right-hand bat,Right-arm medium,New Zealand
58,59,SB Bangar,11/10/1972,Right-hand bat,Right-arm medium-fast,India
59,60,WPUJC Vaas,27/01/1974,Left-hand bat,Left-arm fast-medium,Sri Lanka
60,61,RP Singh,06/12/1985,Right-hand bat,Left-arm fast-medium,India
61,62,WP Saha,24/10/1984,Right-hand bat,N/A,India
62,63,LR Shukla,06/05/1981,Right-hand bat,Right-arm medium,India
63,64,DPMD Jayawardene,27/05/1977,Right-hand bat,Right-arm medium,Sri Lanka
64,65,S Sohal,10/11/1987,Right-hand bat,Legbreak,India
65,66,B Lee,08/11/1976,Right-hand bat,Right-arm fast,Australia
66,67,PP Chawla,24/12/1988,Left-hand bat,Legbreak,India
67,68,WA Mota,20/09/1981,Right-hand bat,Right-arm medium,India
68,69,Kamran Akmal,13/01/1982,Right-hand bat,N/A,Pakistan
69,70,Shahid Afridi,01/03/1980,Right-hand bat,Legbreak googly,Pakistan
70,71,DJ Bravo,07/10/1983,Right-hand bat,Right-arm medium-fast,West Indies
71,72,MA Khote,22/04/1980,Right-hand bat,Right-arm medium,India
72,73,A Nehra,29/04/1979,Right-hand bat,Left-arm medium-fast,India
73,74,GC Smith,01/02/1981,Left-hand bat,Right-arm offbreak,South Africa
74,75,Pankaj Singh,06/05/1985,Right-hand bat,Right-arm medium-fast,India
75,76,RR Sarwan,23/06/1980,Right-hand bat,Legbreak,West Indies
76,77,S Sreesanth,06/02/1983,Right-hand bat,Right-arm fast-medium,India
77,78,VRV Singh,17/09/1984,Right-hand bat,Right-arm medium-fast,India
78,79,SS Tiwary,30/12/1989,Left-hand bat,N/A,India
79,80,DS Kulkarni,10/12/1988,Right-hand bat,Right-arm medium,India
80,81,R Vinay Kumar,12/02/1984,Right-hand bat,Right-arm medium,India
81,82,AB Agarkar,04/12/1977,Right-hand bat,Right-arm fast,India
82,83,M Kartik,11/09/1976,Left-hand bat,Slow left-arm orthodox,India
83,84,I Sharma,02/09/1988,Right-hand bat,Right-arm fast-medium,India
84,85,AM Rahane,06/06/1988,Right-hand bat,Right-arm medium,India
85,86,Shoaib Malik,01/02/1982,Right-hand bat,Right-arm offbreak,Pakistan
86,87,MK Tiwary,14/11/1985,Right-hand bat,Legbreak googly,India
87,88,KD Karthik,01/06/1985,Right-hand bat,N/A,India
88,89,R Bhatia,22/10/1979,Right-hand bat,Right-arm medium-fast,India
89,90,MF Maharoof,07/09/1984,Right-hand bat,Right-arm fast-medium,India
90,91,VY Mahesh,21/12/1987,Right-hand bat,Right-arm medium-fast,India
91,92,TM Srivastava,07/11/1989,Left-hand bat,Right-arm medium,India
92,93,B Chipli,27/01/1983,Right-hand bat,Right-arm medium,India
93,94,DW Steyn,27/06/1983,Right-hand bat,Right-arm fast,South Africa
94,95,DB Das,22/09/1986,Right-hand bat,Legbreak googly,India
95,96,MK Pandey,10/09/1989,Right-hand bat,Right-arm medium,India
